tile_x,tile_y,zoom,yard_name
67789,46443,17,Yard (Main)
67775,46513,17,Yard (Main)
67774,46514,17,Yard (Main)
67748,46456,17,Yard (Main)
67785,46450,17,Yard (Main)
67798,46439,17,Yard (Main)
67799,46440,17,Yard (Main)
67795,46438,17,Yard (Main)
67796,46439,17,Yard (Main)
67792,46439,17,Yard (Main)
67791,46440,17,Yard (Main)
67788,46443,17,Yard (Main)
67776,46513,17,Yard (Main)
67775,46514,17,Yard (Main)
67774,46515,17,Yard (Main)
67749,46456,17,Yard (Main)
67785,46449,17,Yard (Main)
67798,46438,17,Yard (Main)
67799,46439,17,Yard (Main)
67800,46440,17,Yard (Main)
67795,46437,17,Yard (Main)
67796,46438,17,Yard (Main)
67792,46438,17,Yard (Main)
67791,46439,17,Yard (Main)
67790,46440,17,Yard (Main)
67788,46442,17,Yard (Main)
67788,46444,17,Yard (Main)
67777,46513,17,Yard (Main)
67776,46514,17,Yard (Main)
67775,46515,17,Yard (Main)
67774,46516,17,Yard (Main)
67749,46457,17,Yard (Main)
67785,46448,17,Yard (Main)
67798,46437,17,Yard (Main)
67799,46438,17,Yard (Main)
67797,46438,17,Yard (Main)
67800,46439,17,Yard (Main)
67796,46437,17,Yard (Main)
67792,46437,17,Yard (Main)
67791,46438,17,Yard (Main)
67789,46440,17,Yard (Main)
67788,46441,17,Yard (Main)
67787,46444,17,Yard (Main)
67777,46514,17,Yard (Main)
67776,46515,17,Yard (Main)
67775,46516,17,Yard (Main)
67774,46517,17,Yard (Main)
67773,46516,17,Yard (Main)
67749,46458,17,Yard (Main)
67785,46447,17,Yard (Main)
67784,46448,17,Yard (Main)
67798,46436,17,Yard (Main)
67799,46437,17,Yard (Main)
67797,46437,17,Yard (Main)
67800,46438,17,Yard (Main)
67796,46436,17,Yard (Main)
67793,46437,17,Yard (Main)
67788,46440,17,Yard (Main)
67787,46445,17,Yard (Main)
67775,46517,17,Yard (Main)
67774,46518,17,Yard (Main)
67750,46458,17,Yard (Main)
67786,46447,17,Yard (Main)
67784,46447,17,Yard (Main)
67783,46448,17,Yard (Main)
67798,46435,17,Yard (Main)
67799,46436,17,Yard (Main)
67797,46436,17,Yard (Main)
67801,46438,17,Yard (Main)
67796,46435,17,Yard (Main)
67793,46436,17,Yard (Main)
67787,46440,17,Yard (Main)
67787,46446,17,Yard (Main)
67786,46445,17,Yard (Main)
67775,46518,17,Yard (Main)
67774,46519,17,Yard (Main)
67773,46518,17,Yard (Main)
67750,46459,17,Yard (Main)
67786,46446,17,Yard (Main)
67784,46446,17,Yard (Main)
67783,46447,17,Yard (Main)
67798,46434,17,Yard (Main)
67799,46435,17,Yard (Main)
67797,46435,17,Yard (Main)
67800,46436,17,Yard (Main)
67801,46437,17,Yard (Main)
67796,46434,17,Yard (Main)
67795,46435,17,Yard (Main)
67793,46435,17,Yard (Main)
67787,46439,17,Yard (Main)
67785,46445,17,Yard (Main)
67775,46519,17,Yard (Main)
67774,46520,17,Yard (Main)
67773,46519,17,Yard (Main)
67772,46518,17,Yard (Main)
67750,46460,17,Yard (Main)
67784,46445,17,Yard (Main)
67783,46446,17,Yard (Main)
67782,46447,17,Yard (Main)
67798,46433,17,Yard (Main)
67799,46434,17,Yard (Main)
67797,46434,17,Yard (Main)
67800,46435,17,Yard (Main)
67801,46436,17,Yard (Main)
67802,46437,17,Yard (Main)
67796,46433,17,Yard (Main)
67795,46434,17,Yard (Main)
67794,46435,17,Yard (Main)
67793,46434,17,Yard (Main)
67786,46439,17,Yard (Main)
67774,46521,17,Yard (Main)
67773,46520,17,Yard (Main)
67772,46519,17,Yard (Main)
67771,46518,17,Yard (Main)
67751,46460,17,Yard (Main)
67781,46447,17,Yard (Main)
67798,46432,17,Yard (Main)
67799,46433,17,Yard (Main)
67797,46433,17,Yard (Main)
67800,46434,17,Yard (Main)
67801,46435,17,Yard (Main)
67802,46436,17,Yard (Main)
67796,46432,17,Yard (Main)
67795,46433,17,Yard (Main)
67794,46434,17,Yard (Main)
67793,46433,17,Yard (Main)
67786,46438,17,Yard (Main)
67774,46522,17,Yard (Main)
67773,46521,17,Yard (Main)
67772,46520,17,Yard (Main)
67771,46519,17,Yard (Main)
67771,46517,17,Yard (Main)
67752,46460,17,Yard (Main)
67781,46446,17,Yard (Main)
67798,46431,17,Yard (Main)
67799,46432,17,Yard (Main)
67797,46432,17,Yard (Main)
67800,46433,17,Yard (Main)
67801,46434,17,Yard (Main)
67802,46435,17,Yard (Main)
67803,46436,17,Yard (Main)
67796,46431,17,Yard (Main)
67795,46432,17,Yard (Main)
67794,46433,17,Yard (Main)
67792,46433,17,Yard (Main)
67785,46438,17,Yard (Main)
67775,46522,17,Yard (Main)
67774,46523,17,Yard (Main)
67773,46522,17,Yard (Main)
67772,46521,17,Yard (Main)
67771,46520,17,Yard (Main)
67771,46516,17,Yard (Main)
67753,46460,17,Yard (Main)
67780,46446,17,Yard (Main)
67798,46430,17,Yard (Main)
67799,46431,17,Yard (Main)
67797,46431,17,Yard (Main)
67800,46432,17,Yard (Main)
67801,46433,17,Yard (Main)
67802,46434,17,Yard (Main)
67803,46435,17,Yard (Main)
67796,46430,17,Yard (Main)
67795,46431,17,Yard (Main)
67792,46432,17,Yard (Main)
67791,46433,17,Yard (Main)
67785,46437,17,Yard (Main)
67775,46523,17,Yard (Main)
67773,46523,17,Yard (Main)
67772,46522,17,Yard (Main)
67771,46521,17,Yard (Main)
67770,46516,17,Yard (Main)
67754,46460,17,Yard (Main)
67780,46445,17,Yard (Main)
67798,46429,17,Yard (Main)
67799,46430,17,Yard (Main)
67797,46430,17,Yard (Main)
67800,46431,17,Yard (Main)
67801,46432,17,Yard (Main)
67802,46433,17,Yard (Main)
67804,46435,17,Yard (Main)
67796,46429,17,Yard (Main)
67795,46430,17,Yard (Main)
67794,46431,17,Yard (Main)
67792,46431,17,Yard (Main)
67791,46432,17,Yard (Main)
67790,46433,17,Yard (Main)
67784,46437,17,Yard (Main)
67776,46523,17,Yard (Main)
67772,46523,17,Yard (Main)
67771,46522,17,Yard (Main)
67770,46521,17,Yard (Main)
67769,46516,17,Yard (Main)
67755,46460,17,Yard (Main)
67780,46444,17,Yard (Main)
67798,46428,17,Yard (Main)
67799,46429,17,Yard (Main)
67797,46429,17,Yard (Main)
67800,46430,17,Yard (Main)
67801,46431,17,Yard (Main)
67802,46432,17,Yard (Main)
67803,46433,17,Yard (Main)
67804,46434,17,Yard (Main)
67805,46435,17,Yard (Main)
67796,46428,17,Yard (Main)
67795,46429,17,Yard (Main)
67794,46430,17,Yard (Main)
67793,46431,17,Yard (Main)
67790,46432,17,Yard (Main)
67789,46433,17,Yard (Main)
67783,46437,17,Yard (Main)
67777,46523,17,Yard (Main)
67772,46524,17,Yard (Main)
67771,46523,17,Yard (Main)
67770,46522,17,Yard (Main)
67769,46521,17,Yard (Main)
67769,46515,17,Yard (Main)
67756,46460,17,Yard (Main)
67780,46443,17,Yard (Main)
67781,46444,17,Yard (Main)
67798,46427,17,Yard (Main)
67799,46428,17,Yard (Main)
67797,46428,17,Yard (Main)
67800,46429,17,Yard (Main)
67801,46430,17,Yard (Main)
67802,46431,17,Yard (Main)
67803,46432,17,Yard (Main)
67804,46433,17,Yard (Main)
