tile_x,tile_y,zoom,inside_polygon
67845,47264,17,0
67845,47265,17,0
67845,47266,17,0
67845,47267,17,0
67845,47268,17,0
67845,47269,17,0
67845,47270,17,0
67845,47271,17,0
67845,47272,17,0
67845,47273,17,0
67846,47098,17,0
67846,47099,17,0
67846,47100,17,0
67846,47101,17,0
67846,47102,17,0
67846,47103,17,0
67846,47104,17,0
67846,47105,17,0
67846,47106,17,0
67846,47107,17,0
67846,47108,17,0
67846,47109,17,0
67846,47110,17,0
67846,47111,17,0
67846,47112,17,0
67846,47113,17,0
67846,47114,17,0
67846,47115,17,0
67846,47116,17,0
67846,47117,17,0
67846,47118,17,0
67846,47119,17,0
67846,47120,17,0
67846,47121,17,0
67846,47122,17,0
67846,47123,17,0
67846,47124,17,0
67846,47125,17,0
67846,47126,17,0
67846,47127,17,0
67846,47128,17,0
67846,47129,17,0
67846,47130,17,0
67846,47131,17,0
67846,47132,17,0
67846,47133,17,0
67846,47134,17,0
67846,47135,17,0
67846,47136,17,0
67846,47137,17,0
67846,47138,17,0
67846,47139,17,0
67846,47140,17,0
67846,47141,17,0
67846,47142,17,0
67846,47143,17,0
67846,47144,17,0
67846,47145,17,0
67846,47146,17,0
67846,47147,17,0
67846,47148,17,0
67846,47149,17,0
67846,47150,17,0
67846,47151,17,0
67846,47152,17,0
67846,47153,17,0
67846,47154,17,0
67846,47155,17,0
67846,47156,17,0
67846,47157,17,0
67846,47158,17,0
67846,47159,17,0
67846,47160,17,0
67846,47161,17,0
67846,47162,17,0
67846,47163,17,0
67846,47164,17,0
67846,47165,17,0
67846,47166,17,0
67846,47167,17,0
67846,47168,17,0
67846,47169,17,0
67846,47170,17,0
67846,47171,17,0
67846,47172,17,0
67846,47173,17,0
67846,47174,17,0
67846,47175,17,0
67846,47176,17,0
67846,47177,17,0
67846,47178,17,0
67846,47179,17,0
67846,47180,17,0
67846,47181,17,0
67846,47182,17,0
67846,47183,17,0
67846,47184,17,0
67846,47185,17,0
67846,47186,17,0
67846,47187,17,0
67846,47188,17,0
67846,47189,17,0
67846,47190,17,0
67846,47191,17,0
67846,47192,17,0
67846,47193,17,0
67846,47194,17,0
67846,47195,17,0
67846,47196,17,0
67846,47197,17,0
67846,47198,17,0
67846,47199,17,0
67846,47200,17,0
67846,47201,17,0
67846,47202,17,0
67846,47203,17,0
67846,47204,17,0
67846,47205,17,0
67846,47206,17,0
67846,47207,17,0
67846,47208,17,0
67846,47209,17,0
67846,47210,17,0
67846,47211,17,0
67846,47212,17,0
67846,47213,17,0
67846,47214,17,0
67846,47215,17,0
67846,47216,17,0
67846,47217,17,0
67846,47218,17,0
67846,47219,17,0
67846,47220,17,0
67846,47221,17,0
67846,47222,17,0
67846,47223,17,0
67846,47224,17,0
67846,47225,17,0
67846,47226,17,0
67846,47227,17,0
67846,47228,17,0
67846,47229,17,0
67846,47230,17,0
67846,47231,17,0
67846,47232,17,0
67846,47233,17,0
67846,47234,17,0
67846,47235,17,0
67846,47236,17,0
67846,47237,17,0
67846,47238,17,0
67846,47239,17,0
67846,47240,17,0
67846,47241,17,0
67846,47242,17,0
67846,47243,17,0
67846,47244,17,0
67846,47245,17,0
67846,47246,17,0
67846,47247,17,0
67846,47248,17,0
67846,47249,17,0
67846,47250,17,0
67846,47251,17,0
